,Feature,Importance
0,Project_Type,339
1,Project_Grade_Level_Category,54
2,Project_Resource_Category,565
3,Project_Cost,1384
4,Project_Posted_Year,1934
5,Project_Posted_Month,1502
6,Teacher_Prefix,387
7,School_Metro_Type,537
8,School_Percentage_Free_Lunch,1105
9,School_State,1024
10,School_Zip,2385
11,School_District,1039
12,Project_num_Unique_Resources,23
13,Total_Resource_Quantity,239
14,Mean_Resource_Cost,191
15,Total_Project_Cost,368
16,Median_Resource_Cost,217
17,Most_exp_Resource_Cost,232
18,Least_exp_Resource_Cost,179
19,Applied_Learning,0
20,Care_&_Hunger,1
21,Health_&_Sports,0
22,History_&_Civics,0
23,Literacy_&_Language,1
24,Math_&_Science,3
25,Music_&_The_Arts,0
26,Special_Needs,2
27,Warmth,0
28,"Project_Essay_contains:_""price""",6
29,"Project_Essay_contains:_""pay""",0
30,"Project_Essay_contains:_""understand""",21
31,"Project_Essay_contains:_""know""",0
32,"Project_Essay_contains:_""making""",0
33,"Project_Essay_contains:_""relevant""",0
34,"Project_Essay_contains:_""engaging""",0
35,"Project_Essay_contains:_""key""",1
36,"Project_Essay_contains:_""materials""",3
37,"Project_Essay_contains:_""help""",0
38,"Project_Essay_contains:_""job""",0
39,"Project_Essay_contains:_""right""",0
40,"Project_Essay_contains:_""teach""",0
41,"Project_Essay_contains:_""basic""",1
42,"Project_Essay_contains:_""financial""",0
43,"Project_Essay_contains:_""literacy""",1
44,"Project_Essay_contains:_""skills""",0
45,"Project_Essay_contains:_""unit""",6
46,"Project_Essay_contains:_""money""",1
47,"Project_Essay_contains:_""donotremoveessaydivideri""",0
48,"Project_Essay_contains:_""great""",0
49,"Project_Essay_contains:_""group""",6
50,"Project_Essay_contains:_""come""",1
51,"Project_Essay_contains:_""variety""",0
52,"Project_Essay_contains:_""backgrounds""",4
53,"Project_Essay_contains:_""experiences""",0
54,"Project_Essay_contains:_""socioeconomic""",14
55,"Project_Essay_contains:_""situations""",0
56,"Project_Essay_contains:_""primary""",3
57,"Project_Essay_contains:_""center""",0
58,"Project_Essay_contains:_""receive""",1
59,"Project_Essay_contains:_""free""",3
60,"Project_Essay_contains:_""lunch""",2
61,"Project_Essay_contains:_""breakfast""",0
62,"Project_Essay_contains:_""eager""",1
63,"Project_Essay_contains:_""learn""",12
64,"Project_Essay_contains:_""struggle""",5
65,"Project_Essay_contains:_""counting""",6
66,"Project_Essay_contains:_""change""",1
67,"Project_Essay_contains:_""many""",5
68,"Project_Essay_contains:_""get""",0
69,"Project_Essay_contains:_""go""",0
70,"Project_Essay_contains:_""local""",3
71,"Project_Essay_contains:_""store""",0
72,"Project_Essay_contains:_""apply""",0
73,"Project_Essay_contains:_""life""",1
74,"Project_Essay_contains:_""need""",0
75,"Project_Essay_contains:_""master""",2
76,"Project_Essay_contains:_""ipads""",2
77,"Project_Essay_contains:_""practice""",2
78,"Project_Essay_contains:_""reach""",17
79,"Project_Essay_contains:_""everyone""",0
80,"Project_Essay_contains:_""wants""",0
81,"Project_Essay_contains:_""turn""",0
82,"Project_Essay_contains:_""ipad""",1
83,"Project_Essay_contains:_""one""",0
84,"Project_Essay_contains:_""best""",0
85,"Project_Essay_contains:_""apps""",1
86,"Project_Essay_contains:_""available""",0
87,"Project_Essay_contains:_""little""",0
88,"Project_Essay_contains:_""mind""",0
89,"Project_Essay_contains:_""amazing""",0
90,"Project_Essay_contains:_""tool""",0
91,"Project_Essay_contains:_""teaching""",0
92,"Project_Essay_contains:_""economic""",1
93,"Project_Essay_contains:_""math""",1
94,"Project_Essay_contains:_""goal""",0
95,"Project_Essay_contains:_""every""",5
96,"Project_Essay_contains:_""two""",29
97,"Project_Essay_contains:_""share""",0
98,"Project_Essay_contains:_""etc""",6
99,"Project_Essay_contains:_""believe""",1
100,"Project_Essay_contains:_""impact""",2
101,"Project_Essay_contains:_""resource""",4
102,"Project_Essay_contains:_""ive""",1
103,"Project_Essay_contains:_""seen""",0
104,"Project_Essay_contains:_""excited""",1
105,"Project_Essay_contains:_""also""",3
106,"Project_Essay_contains:_""access""",0
107,"Project_Essay_contains:_""safe""",1
108,"Project_Essay_contains:_""websites""",17
109,"Project_Essay_contains:_""fun""",5
110,"Project_Essay_contains:_""getting""",0
111,"Project_Essay_contains:_""better""",0
112,"Project_Essay_contains:_""familiar""",0
113,"Project_Essay_contains:_""books""",2
114,"Project_Essay_contains:_""relate""",0
115,"Project_Essay_contains:_""games""",0
116,"Project_Essay_contains:_""give""",6
117,"Project_Essay_contains:_""confidence""",2
118,"Project_Essay_contains:_""count""",0
119,"Project_Essay_contains:_""remember""",3
120,"Project_Essay_contains:_""much""",6
121,"Project_Essay_contains:_""child""",0
122,"Project_Essay_contains:_""going""",0
123,"Project_Essay_contains:_""sure""",1
124,"Project_Essay_contains:_""loved""",17
125,"Project_Essay_contains:_""today""",5
126,"Project_Essay_contains:_""possible""",0
127,"Project_Essay_contains:_""donating""",0
128,"Project_Essay_contains:_""project""",4
129,"Project_Essay_contains:_""helping""",0
130,"Project_Essay_contains:_""exciting""",4
131,"Project_Essay_contains:_""way""",1
132,"Project_Essay_contains:_""mathematics""",4
133,"Project_Essay_contains:_""succeed""",0
134,"Project_Essay_contains:_""future""",2
135,"Project_Essay_contains:_""appreciate""",2
136,"Project_Essay_contains:_""matter""",1
137,"Project_Essay_contains:_""care""",0
138,"Project_Essay_contains:_""people""",0
